,text,likes,timestamp
123,"Punjab schools will remain closed tomorrow on August 9, due to a bandh called by the Dalit and Christian communities in protest of ethnic violence and atrocities on women in Manipur.

news18.com/opinion/proselyti…",1,08-09-2023
124,"📢📣
Meitei lies debunk. Ground zero report today. Let the video speak for itself.

#MeiteiLiesDebunked
#MeiteiLies 
#Manipur_Violence",36,08-08-2023
125,Assam rifles is in honey trapped by chin kuki zo Terorrist with lot's of 👁️👄👁️ henceforth remove❌ Assam rifles from entire state of Manipur and replace others center force .25 lakhs of civilians people's no more trust to Assam rifles in history of Manipur. @AbhijitChavda,31,08-07-2023
126,"Why only bothered about Manipur, you instigate violence in jnu and cry about Manipur.. Violence is violence, those who are involved should be punished... First you punish yourself for siding with the wrong people, by then everything will be fine... You think all others are fools.",0,08-09-2023
127,"Bhai sab 34 saal ke bad konsi file bachi hogi.....koi bacha bhi nh hoga un logo me se.....Ab to sirf misguiding hi hoga.... Or gumrah kiya jayega... Usase jyada logo ne manipur me jan gawa di, uska kuch lena dena nh, hab ki vaha BJP ki sarkar h... Sudhar jao sirji...",0,08-09-2023
128,"Chief Minister “@NBirenSingh didn’t fight for drugs, but he was a part of drugs cartel” Thounaojam Brinda Former ASP, Manipur. We know the truth shall always prevail. @chikimteawgin19 @debunkedthelie @Zoukim27 @ZoramthangaCM @LSGangte @gangte_jessie @taithanmawi @haokipkim128…",0,08-09-2023
129,"Manipur CM is a patron of Drug Mafia.

Shocking expose by former ASP Manipur police.

#ManipurViolence",1090,08-05-2023
130,"#NoConfidenceMotion #BJPFails 
মেরুকরণের রাজনীতিই দায়ী, মণিপুর আজ দ্বিখণ্ডিত, অনাস্থা প্রস্তাবে নিশানায় মোদি
      বিগত তিন মাসেরও বেশি সময় ধরে হিংসার আগুনে জ্বলছে মণিপুর।
#BJPFailsIndia #Manipur #TMCS
 
bengali.abplive.com/news/con…",25,08-08-2023
131,Congress deputy leader in Lok Sabha Mr @GauravGogoiAsm leads debate from INDIA alliance side on #Manipur in #LokSabha,2803,08-08-2023
132,"Kuki-chin-zo r widely distributed in NE India nd have separatist Tendency
Most of thm r Xtians nd few Muslims
They have army grade weapons nd trained combatants
There is a exodus of Hindu Tribes from Manipur going on 
nd Kukis winning with help of Church Nd Mahamanav Modi Ji",0,08-09-2023
133,"😂😂😂 It’s a No Confidence Motion and not a debate on Manipur 

Awareness level of your average ‘journalist’",2355,08-08-2023
134,The video of an assault on a BJP leader from Greater Noida is viral on social media with the FALSE claim that he was thrashed for some remarks on the Manipur violence. The truth is that he was attacked over a local land dispute. WATCH:,1256,08-08-2023
135,"Image 1- Manipur, Civilised people are looting Kuki's properties.

Image 2- Gurugram, Civilised people are looting Muslim's properties.",338,08-08-2023
136,"Daily Yog Class at Narankonjin Mayai Leikai, Imphal West, Manipur",0,08-09-2023
